Date,Circuit,Country,International,Tournament,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,1,1,This House would ban essential service providers from striking,,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,2,2,This House believes that the music press should publish unrepresentatively negative reviews of the music of artists whose conduct they view as reprehensible,,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,3,3,This House believes that supreme/constitutional courts should not have the power to strike down legislation,,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,4,4,To proselytise means to attempt to convert others to your beliefs. This House believes that atheists should proselytise,,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,5,5,"This House, as the West, would immediately end all sanctions against Russia",,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,Open_Y,Open_Semi,This House believes that the British Museum should give all artifacts to the nations where they originated,,,,,
2016-02-27,IoNA,United Kingdom,0,Nottingham Open,Alex Harris,Matthew Creese,Mackenzie Tse,,,,,,http://1drv.ms/24vrRt0,Open_Z,Open_Final,"For the purposes of this debate, the American Dream refers to the socially widespread belief that individuals can improve their circumstances through hard work, and that one can become successful regardless of their background. This House regrets the American Dream.",,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,1,1,"THW ban private political donations, and fund all political parties and campaigns from general taxation.",,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,2,2,"THW not allow workers to renounce their employment rights (e.g. holiday pay, defined working hours, sick pay, minimum wage) in return for work experience or financial benefit.",,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,3,3,THBT Oskar Gröning should not have been prosecuted.,"Oskar Gröning chose to join the SS during the 1940s, and was positioned at Auschwitz concentration camp as a financial clerk. After the end of the war, he remained silent about his experiences for forty years. In response to Holocaust denial by a number of authoritative and well-known individuals, he spoke about his experiences and actions, highlighting the horrors that occurred. This contributed to a decision of the German government to prosecute him as an accessory to murder in 300,000 cases.",,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,4,4,THBT European Leaders should not have agreed to renegotiate the terms of Britain's EU membership.,,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,5,5,"THBT it is legitimate to release the unpublished personal memoirs of deceased public figures, even when this is against the express wishes of the individual or their family.",,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,Open_X,Open_Quarters,"This House supports the French government's decision to dismantle the ""Calais jungle.""",,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,Open_Y,Open_Semis,THBT Barack Obama should nominate an individual considered to be a moderate conservative by US citizens to the Supreme Court.,,,,,
2016-03-11,Europe,Hungary,0,Budapest Open 2016,Adam Hawksbee,Karolina Partyga,Ruta Gabalina,,,,,,https://www.facebook.com/events/425670157638962/,Open_Z,Open_Finals,THW ban all further research into artificial intelligence that can independently learn and develop.,,,,,
2016-02-06,,United Kingdom,0,ICYD- Oxford Round,Will Cook ,,,,,,,,https://sites.google.com/site/icyd2016/home,5,5,"This House Would introduce Proportional Representation in UK general elections.""",,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,1,1,"Assuming a deal were offered, TH as Edward Snowden would take a short prison sentence in order to return to the US",,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,2,2,THR the Valorisation of the 1916 Rising,,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,3,3,THB former colonial powers should pay reparations to their former colonies,,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,4,4,THW posthumously strip Kevin Carter of the Pulitzer Prize,,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,5,5,THB African countries with AIDS crises should sue the Catholic church,,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,Open_Y,Open_Semis,"Assuming some willingly do this already, TH as a super-powered individual would unmask and register",,,,,
2015-03-13,IoNA,Ireland,0,National Maidens,Dee Courtney,Davy Jones,Ruth Cormican,,,,,,Facebook: https://www.facebook.com/events/857086754350150/; tab: https://www.dropbox.com/s/9jlwrml6u8k5hdk/National%20Maidens%202015%20Tab.xlsx?dl=0,Open_Z,Open_Finals,"Assuming the land and resources are available, THW establish an independent state for women",,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,1,1,THW ban cosmetic surgery,,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,2,2,THBT African countries should adopt English as the principal language of instruction in schools,,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,3,3,THW only fund medicine based on its impact on Quality Adjusted Life Years (with info slide),,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,4,4,"TH, as the West, would cooperate with Russia in its military intervention in Syria (with info slide)",,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,Novice_Z,Novice_Final,THBT the media should not report on the private lives of politicians,,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,Open_Y,Open_Semis,THBT female game designers should prioritise over everything else the creation of female characters,,,,,
2015-11-07,IoNA,United Kingdom,0,Westminster Open 2015,Olivia Sundberg Diez,Eleanor Angwin,Jamie Batchelor,,,,,,,Open_Z,Open_Finals,THW ban scientific research into the genetics of race,,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,1,1,THW compel colleges to pay athletes as professionals (with info slide),,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,2,2,THBT the EU should enforce freedom of movement within current Schengen countries (with info slide),,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,3,3,TH supports Lean In feminism (with info slide),,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,4,4,THW ban adoption agencies which select families on religious grounds,,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,Open_Y,Open_Semis,THBT states should strive to reduce inequality even after everyone has enough for an acceptable quality of life,,,,,
2015-10-31,IoNA,United Kingdom,0,Imperial Open 2016,Olivia Sundberg Diez,Jamie Jackson,Paul O'Dwyer,,,,,,,Open_Z,Open_Finals,THW allow students to vote on the curriculum they are taught in schools,,,,,
2015-07-25,IoNA,United Kingdom,0,SOAS Open 2015,Olivia Sundberg Diez,Joe Dyer,,,,,,,,1,1,This House would heavily financially incentivise companies to take current prisoners as interns or apprentices,,,,,
2015-07-25,IoNA,United Kingdom,0,SOAS Open 2015,Olivia Sundberg Diez,Joe Dyer,,,,,,,,2,2,"This House, as a vegan, would actively and persistently seek to convert those around you to veganism or vegetarianism",,,,,
2015-07-25,IoNA,United Kingdom,0,SOAS Open 2015,Olivia Sundberg Diez,Joe Dyer,,,,,,,,3,3,This House regrets the large number of UN resolutions issued against Israel (with info slide),,,,,
2015-07-25,IoNA,United Kingdom,0,SOAS Open 2015,Olivia Sundberg Diez,Joe Dyer,,,,,,,,4,4,This House would disproportionately hire African Americans in the US police force,,,,,
2015-07-25,IoNA,United Kingdom,0,SOAS Open 2015,Olivia Sundberg Diez,Joe Dyer,,,,,,,,Open_Z,Open_Finals,This House opposes the commodification of feminism (with info slide),,,,,
2015-03-27,IoNA,United Kingdom,0,Cardiff Open 2015,Olivia Sundberg Diez,Gareth Williams,Jamie Batchelor,,,,,,,1,1,THBT the EU should guarantee membership to seceding regions of member states,,,,,
2015-03-27,IoNA,United Kingdom,0,Cardiff Open 2015,Olivia Sundberg Diez,Gareth Williams,Jamie Batchelor,,,,,,,2,2,THW grant prison wardens the right to extend prison sentences as a punishment (with info slide),,,,,
2015-03-27,IoNA,United Kingdom,0,Cardiff Open 2015,Olivia Sundberg Diez,Gareth Williams,Jamie Batchelor,,,,,,,3,3,THBT the USA should publicly cease its efforts to prevent Iran from developing Nuclear Weapons,,,,,
2015-03-27,IoNA,United Kingdom,0,Cardiff Open 2015,Olivia Sundberg Diez,Gareth Williams,Jamie Batchelor,,,,,,,4,4,THW force fathers to take paternity leave,,,,,
2015-03-27,IoNA,United Kingdom,0,Cardiff Open 2015,Olivia Sundberg Diez,Gareth Williams,Jamie Batchelor,,,,,,,Open_Z,Open_Finals,"THW aggressively stream children from an early age, according to academic ability",,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,1.1,1.1,That we should tax and redistribute wealth contained in university endowment funds,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,1.2,1.2,That universities should make use of quotas for ideological groups (e.g. conservatives) for teaching and research staff,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,1.3,1.3,That the state should employ more non university graduates and use tax penalties to encourage other employers to do the same,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,2.1,2.1,That the EU should require member states to set common rules and rates for corporate taxation,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,2.2,2.2,That investors should divest from fossil fuel companies,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,2.3,2.3,That the US should have aggressively pushed for the inclusion of China in the TPP,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,3.1,3.1,That as the Catholic church we should deny communion to politicians who vote contrary to its teachings,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,3.2,3.2,That we should have a truth and reconciliation commission for Catholic church abuse,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,3.3,3.3,That the West should seek to fund moderate Islamic religious groups in the Middle East,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,4.1,4.1,That Pacific Rim countries should make Australian participation in future trade agreements contingent on the abandonment of their asylum seeker detention policy,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,4.2,4.2,That Australia should automatically trigger an election when the governing party replaces the prime minister,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,4.3,4.3,That despite the opposition of the Myanmar government the international community should set up a safe haven for the Rohingyas in Myanmar,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,5.1,5.1,That we should apply the same criminal sanctions to late term abortions and infanticide,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,5.2,5.2,That we should replace the institution of the family with well run state child raising facilities,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,5.3,5.3,"That we should allow individuals to enter contracts specifying conditions on their relationship e.g. salary level, weight limits, frequency of sex",,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Y_1,Open_Semis_1,That we regret the possibility of jury nullification,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Y_2,Open_Semis_2,"That we should implement Good Samaritan laws (legally obliging bystanders to assist those in danger, unless doing so would place them at serious risk)",,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Y_3,Open_Semis_3,That illegally gathered evidence should be admissible in court,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Z_1,Open_Finals_1,That state level affiliates of the Democratic Party in conservative states should disaffiliate and establish a new party,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Z_2,Open_Finals_2,That US presidential primaries in all states should be run on the same date,,,,,
2016-03-19,IoNA,United Kingdom,0,Durham Australs,Thomas Simpson,Annie Williamson,Fergus Peace,,,,,,https://www.facebook.com/events/1620158624890212/?ref=ts&fref=ts,Open_Z_3,Open_Finals_3,That the West should select and train local activists to oppose 'third termist' leaders (those trying to subvert or remove term limits) in Sub-Saharan Africa,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,1,1,THB existing welfare programs should be replaced by unconditional cash transfers. ,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,2,2,THB political polling and major election analytics do more harm than good. ,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,3,3,THW not let cities use public funds to construct stadiums for professional sports teams. ,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,4,4,THB the U.S. should impose substantial tarriffs on Chinese goods until China ceases all currency manipulation. ,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,5,5,"THR the success of white artists who co-opt minority dominated music subcultures (e.g. Rap, jazz, hip-hop, etc.)",,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,6,6,THW hold govrenment officials criminally responsible for severe harm to citizens resulting from grossly negligent public policy. ,,,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,Open_X,Open_Quarters,THR the rise of Choice Feminism. ,"Choice feminism is the notion that feminism ought not prescribe women's behaviour, and instead ought support the decision-making of individual women as having intrinsic feminist value.",,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,Open_Y,Open_Semis,THB the EU should revoke membership status of any state that withdraws from the Schenge Agreement. ,"The Schengen Agreement established the area of continental Europe that removed all border and passport controls at internal borders. Recently, some states have considered withdrawing from the agreement. ",,,,
2016-03-11,North America and Canada,United States,2,NAUDC (@ Ithaca College),Brent Schmidt,Steven Penner,Amelia McLeod,Taylor Blackburn,Zach Bakal,,,,,Open_Z,Open_Finals,"THR ""True Crime"" entertainment. (e.g. Making a Murderer, American Crime Story: The People vs. OJ Simpson, Serial, etc.)",,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,1,1,"THR the rise of dating apps (e.g. Tinder, Grindr, Hitch, Hinge,etc.)",,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,2,2,THBT continued membership in the UN should be contingent on countries opting into universal jurisdiction. ,"Universal jurisdiction allows states or international organizations to claim criminal jurisdiction over an accused person. It does not matter where the alleged crime was committed. The nationality, country of residence, and relation to the prosecuting entity are also irrelevant. Crimes prosecuted under universal jurisdiction are considered crimes against all.",,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,3,3,"TH, as a minority parent in North America, would teach their kids not to trust the justice system, or figures of legal authority (e.g. police, judges, state prosecutors, etc.)",,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,4,4,"TH would prefer the reclamation of disputed monuments (e.g. the Rhodes Status at Oxford, Voertrekker Monuments in South Africa, Yakusuni Shrine in Japan, etc.) to their destruction. ",,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,5,5,THS legal abortions for men. ,"A legal abortion for a man means that he cannot be sued for child support, and has no legal right of access, or obligation, to the child.",,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,Novice_Z,Novice_Finals,THW preference a strong social media over a physical presence in protest culture. ,,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,Open_Y,Open_Semis,"TH, as the Nicaraguan people, opposes the construction of the Nicaraguan Canal. ",The Nicaraguan Canal is a planned shipping route through Nicaragua to connect the Atlantic Ocean with the Pacific Ocean. The Nicaraguan Government has granted a 50-year monopoly on the canal's operations to a construction company owned by a Chiense billionaire. The construction of the canal will cause significant environmental damange to Central America's key freshwater reservoir. The only alternative route between the two oceans is currently the Panama Canal.,,,,
2016-02-27,North America and Canada,Canada,0,North American Women's (@ Hart House),Lex Sundarsingh,Meghan Ackland,Sophie S-P,Isabella Olson,Emily Saeli,,,,https://www.facebook.com/events/1119638474736120/permalink/1119638491402785/,Open_Z,Open_Finals,THW prefer a world in which people are sedated to experience only mild emotions. ,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,1,1,THW ban plea bargaining,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,2,2,THS the use of coercive economic and diplomatic measures against states in which serious environmental damange to natural resources of share global importance is occurring,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,3,3,THW ban surgical genital alteration procedures for minors that are not strictly medically necessary for bodily or sexual function,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,4,4,TH welcomes the rise of for-profit education in developing countries,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,5,5,THW ban the use of religious rhetoric and symbols in political campaigns,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,6,6,TH supports a three-state solution to the Israeli-Palestinian conflcit,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,Open_X,Open_Quarters,THBT retribution should not be a part of the criminal justice system. ,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,Open_Y,Open_Semis,THB abortions that are based on the fetus showing signs of non-fatal physical and developmental disabilities,,,,,
2015-12-05,North America and Canada,United States,0,Brandeis IV,Lindsay Bing,Rodje Malcolm,Micheal Norton,,,,,,https://www.facebook.com/events/154866894861098,Open_Z,Open_Finals,THS universal jurisdiction for crimes against humanity.,,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,1,1,"TH, as an individual feminist, would boycott tinder",,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,2,2,THW publish all salaries,,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,3,3,THW pay direct reparations to the descendants of slaves in the United States,,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,4,4,"TH, with the exception of news reporting, would not allow anyone to publish or profit off accounts of violent criminals' crimes.",,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,5,5,TH opposes the search for a cure to autism,,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,Open_Y,Open_Semis,"You are a female Democratic candidates running in the general election for President of the U.S. The results are extremely close going into the vote. One of your staffers tells you, with certainty, that they can right the election of your favour with little chance of detection. THW do it.",,,,,
2015-11-20,North America and Canada,Canada,0,McMaster Pro-Am,Meghan Ackland,Mohammad Sarraj,,,,,,,https://www.facebook.com/events/969556209771118/,Open_Z,Open_Finals,TH prefers a world where memories and accurately recorded and available for external playback.,,,,,
2015-11-27,North America and Canada,Canada,0,Canadian British Parliamentary Championships (@ York University),Steven Penner,Enting Lee,,,,,,,https://www.facebook.com/events/1213100605383737/,1,1,THS the rise of homeschooling among minority communities,,,,,
2015-11-27,North America and Canada,Canada,0,Canadian British Parliamentary Championships (@ York University),Steven Penner,Enting Lee,,,,,,,https://www.facebook.com/events/1213100605383737/,2,2,THBT environmental refugees should be granted citizenship in countries that have contributed most heavily to global pollution,,,,,
2015-11-27,North America and Canada,Canada,0,Canadian British Parliamentary Championships (@ York University),Steven Penner,Enting Lee,,,,,,,https://www.facebook.com/events/1213100605383737/,3,3,THBT minority groups seeking public support for equal rights should emphasize distinct cultures over similarity to the mainstream.,,,,,
2015-11-27,North America and Canada,Canada,0,Canadian British Parliamentary Championships (@ York University),Steven Penner,Enting Lee,,,,,,,https://www.facebook.com/events/1213100605383737/,4,4,"THW financially assist inner-city neighbourhoods in order to prevent gentrification, for instance by subsidizing mixed-income housing over public housing projects.",,,,,
